,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"UM2","max",2938,264.627106,197.370804,3.71957,20.93371,16.88401,55.738178,8.77333,25.135531,11.66582,11.55126,5.36449,16.378981,3.89796,11.07692,4.13034,4.1875,1.11531,9.57765,1.25896,1.79908,2.92817,5.01617,1.7797,5.50546,1.96076,2.66018,2.52692,1.34806,2.17002,3.07426,0.35288,3.76061,0.25674,0.64278,0.83746,1.31876,1.22253,0.3391,0.72663,1.26567,1.91012,0.74665,0.58158,0.94041,0.07895,0.39962,0.8032,0.29705,1.28636,0.23284,0.63697,0.3635,0.75406,0.653,0.30142,0.2039,0.13068,0.67201,0.29592,0.36311
"Extant","Alcelaphini",,,,1,"UM2","max",2942,239.751495,220.295197,17.232771,25.27445,18.128889,30.903469,3.47187,11.65918,10.85999,12.00225,8.45517,11.48478,1.23564,5.20462,3.45087,5.79387,4.89395,4.51828,0.57469,4.15929,0.4144,2.04434,3.5214,7.42556,1.65248,3.48814,0.58118,2.89739,1.31516,1.72766,2.22968,1.30405,1.36503,1.897,0.6108,0.48775,0.63313,0.39834,0.72439,1.73271,0.32293,0.40439,0.4112,0.71526,0.31236,1.02604,0.56151,0.62831,0.33627,1.01271,0.32313,0.3629,0.33924,0.12162,0.1515,0.39033,0.30892,0.08998,0.16198,0.28385
"Extant","Alcelaphini",,,,1,"UM2","max",2946,276.23761,187.477799,5.99662,18.12203,12.23425,48.44062,4.06583,23.275299,9.59513,11.08487,1.74762,17.09989,0.39234,8.16698,2.96349,2.39864,0.77671,7.74103,0.6943,1.86374,1.64438,4.74201,0.49265,5.10229,0.9367,3.13753,1.64561,1.00798,1.85772,2.39278,0.99018,2.82547,1.41095,0.94232,0.84302,0.76485,0.15673,0.37102,0.6393,0.56443,1.65741,0.505,0.27269,0.90878,0.14561,0.13352,0.25277,0.60435,0.40739,0.30504,0.20467,0.23784,0.80848,0.14338,0.19514,0.00523,0.49423,0.38902,0.42632,0.06952
"Extant","Alcelaphini",,,,1,"UM2","max",2950,268.244293,188.381393,12.41229,13.65559,19.879181,50.995331,4.17432,21.72122,11.95421,10.17946,1.60124,13.399,1.01575,10.20873,4.08156,3.55523,1.43423,6.93108,1.80106,4.45098,2.57774,4.87473,0.96119,5.19477,1.17133,2.67533,2.76355,2.07707,0.87992,2.744,0.79895,1.6677,0.50278,0.39863,0.29725,1.22103,0.91571,0.93516,1.25582,0.58656,1.10526,0.69307,0.24144,0.98453,0.30173,0.08611,0.43329,0.17169,0.26156,0.49908,0.2477,0.39357,0.72286,0.21114,0.33563,0.28066,0.28005,0.2595,0.64154,0.20095
"Extant","Alcelaphini",,,,1,"UM2","max",2954,263.362,146.669205,18.797979,11.12597,16.047079,46.941792,4.58867,21.236641,6.78785,7.20061,1.51899,12.53805,1.85529,6.53673,2.01266,4.36022,2.61892,5.54318,0.75436,1.11485,2.37855,4.43915,0.91426,4.382,1.32884,3.43533,1.1866,0.52708,1.99516,0.68672,0.50561,1.64578,1.32616,0.61038,1.04166,0.10928,1.08218,0.86499,0.33889,0.54148,0.99073,0.40776,0.25107,0.7272,0.20388,0.09907,0.40108,0.29197,0.54444,0.28111,0.28488,0.25232,0.15848,0.3019,0.31762,0.4852,0.35864,0.10396,0.23775,0.3193
"Extant","Alcelaphini",,,,1,"UM2","max",2959,280.812103,195.695206,1.98719,24.077221,8.31978,45.730949,4.66716,24.124399,10.8568,10.08544,4.75828,13.94151,0.27441,9.71486,2.86533,5.74486,0.87535,9.21333,1.26144,2.6906,3.11909,4.98746,1.53633,4.54257,0.41469,2.05471,2.45387,2.03787,1.17149,2.83963,1.08032,2.96516,0.59532,0.13025,0.97908,1.35639,0.89756,0.82813,1.1226,0.29811,1.36385,0.29804,0.36111,0.68338,0.19642,0.61193,1.25889,0.65023,0.33525,0.70064,0.14677,0.2178,0.6549,0.38091,0.14533,0.24587,0.30385,0.53964,0.49431,0.32553
"Extant","Alcelaphini",,,,1,"UM2","max",2963,258.210297,192.085297,12.79487,13.28438,14.57898,56.57885,6.71907,18.95681,13.47926,10.98497,1.41422,14.33528,3.24211,8.1146,5.42342,2.15916,2.52657,9.30275,0.68561,1.02226,1.82482,3.64152,0.6616,5.31107,0.7433,4.14601,2.39543,1.30944,2.83095,2.26101,1.56523,2.4351,0.87219,1.00122,0.7412,0.1706,0.24593,0.8345,0.15679,0.62148,1.77894,1.33745,1.1658,0.89756,0.9826,0.24001,0.12724,0.59477,0.21086,0.08886,0.86022,0.59881,0.29134,0.41322,0.15885,0.37076,0.76614,0.12231,0.32486,0.2714
"Extant","Alcelaphini",,,,1,"UM2","max",2967,267.826691,194.669006,11.58084,12.43073,10.92511,50.756771,5.29102,18.47707,9.88435,12.18266,4.00773,14.89709,1.03883,7.21967,2.40541,1.97825,1.04655,8.27599,0.85967,1.49699,1.73422,3.86677,0.66457,3.95153,0.60683,3.74991,1.00397,0.36795,1.97397,1.79907,1.1948,3.33846,0.88427,1.26155,0.57664,0.58753,0.30775,0.58544,0.21904,1.04708,1.08062,0.74012,0.76072,0.56003,0.63522,0.33333,0.1729,0.61584,0.67588,0.25812,0.63883,0.08259,0.18343,0.37642,0.28645,0.09326,0.59358,0.3753,0.26515,0.34305
"Extant","Alcelaphini",,,,1,"UM2","max",2971,270.781097,175.605499,10.34405,8.96922,21.484221,44.04187,3.51628,19.805241,9.67915,10.07312,0.90531,10.50051,2.76607,9.70405,1.53976,3.22832,2.01864,6.29628,3.07894,3.01931,2.64614,5.43989,0.74082,4.1434,0.84414,2.40116,1.52154,2.57803,0.88794,1.08612,0.75559,2.30591,1.02896,0.60854,0.65318,0.5065,1.30442,0.45529,0.66465,0.52431,0.7264,0.42691,0.14793,1.19115,0.14795,0.30563,0.46777,0.30087,0.58258,0.28292,0.20048,0.11721,0.58167,0.15616,0.09067,0.41383,0.30145,0.07195,0.135,0.26294
"Extant","Alcelaphini",,,,1,"UM2","max",2975,260.444,172.623093,14.88738,9.61283,18.385241,50.96928,4.41522,22.41934,10.65731,11.70115,1.04906,12.25301,3.04052,11.02279,1.87506,4.03381,2.06488,7.43168,1.81298,1.96053,1.60398,4.73665,1.34991,4.3731,1.55758,3.0665,1.47302,1.01404,2.20485,1.20476,1.51369,2.3237,0.93328,0.60355,1.31232,0.95793,1.10436,1.17056,1.00094,0.63984,0.96746,0.60856,0.28774,0.51687,0.0893,0.50448,0.77998,0.40307,0.30861,0.39232,0.52238,0.65369,0.44883,0.09205,0.26035,0.1892,0.52173,0.38712,0.3634,0.07108
