,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"LM2","mand",3059,245.959396,111.596298,12.34977,6.49253,24.06918,48.823971,3.39163,17.06086,5.05282,9.77839,4.01604,6.33531,0.77441,8.78753,1.82147,1.88901,0.42983,0.97246,0.93046,5.92269,1.07808,1.68816,0.391,2.20796,1.63611,1.97334,0.59397,0.24329,1.26332,1.33201,0.36013,2.4498,0.49463,0.4751,0.45556,0.97856,0.26444,0.25553,0.47977,0.69563,0.77931,0.96389,0.10671,0.97418,0.35529,0.3377,0.328,0.28467,0.05401,0.25359,0.0846,0.48341,0.2395,0.4116,0.30382,0.30424,0.18793,0.08404,0.09025,0.24991
"Extant","Alcelaphini",,,,1,"LM2","mand",3063,248.378296,110.351601,13.88433,7.91793,21.23687,46.120899,2.22382,19.47332,4.97946,6.97386,3.0539,6.70012,0.97639,10.55412,1.34013,4.10695,0.6999,0.37315,0.74738,5.61473,0.89508,1.81307,0.10341,2.2569,1.51931,2.39993,0.65543,1.09918,1.32086,0.69506,0.53952,2.189,0.55061,0.63183,0.86992,0.46047,0.12835,0.8633,0.57112,0.41309,0.79031,0.80557,0.15797,0.91767,0.31,0.54354,0.57783,0.23149,0.12544,0.24244,0.24895,0.17374,0.54383,0.26319,0.32678,0.30907,0.35132,0.50231,0.16545,0.23597
"Extant","Alcelaphini",,,,1,"LM2","mand",3076,235.503006,114.269798,24.47897,15.00073,26.73045,58.104961,2.30268,12.0169,4.97506,14.57521,2.51145,1.73593,3.33113,8.42434,2.76661,2.69122,1.73927,2.58706,0.93886,4.14839,0.6463,3.07528,0.97393,1.10184,1.37007,1.91245,0.87286,0.63111,1.32771,0.69189,1.17789,1.81552,0.71664,0.70006,0.65796,0.55397,0.62678,1.13962,0.4672,0.72375,0.297,0.90081,0.28798,0.58121,0.10032,0.34549,0.40659,0.52562,0.2837,0.24879,0.42097,0.54571,0.14649,0.71441,0.02439,0.54125,0.27524,0.34152,0.07649,0.30301
"Extant","Alcelaphini",,,,1,"LM2","mand",3079,219.521896,117.018204,9.15946,3.51349,26.60401,60.214081,2.41982,8.69508,7.95169,16.39175,1.04243,3.42897,3.0728,8.67171,2.99899,2.14673,1.50567,3.42838,0.42604,3.3085,0.57616,2.02628,0.93202,1.8848,1.60151,2.22773,1.49519,0.36282,0.62166,1.33314,1.43165,1.23074,0.19343,1.35684,0.79491,0.88772,0.32578,1.03939,0.5196,0.59393,0.23582,1.03304,0.38976,0.50536,0.14568,0.91388,0.2877,0.61334,0.05446,0.30323,0.23524,0.73327,0.32152,0.65083,0.1689,0.25656,0.1773,0.4725,0.22171,0.43411
"Extant","Alcelaphini",,,,1,"LM2","mand",3082,281.432404,141.345596,37.175381,25.685841,36.398201,70.154518,3.4016,11.25304,9.38547,17.373091,1.72852,4.45537,5.26014,10.10832,4.75295,2.50591,2.29667,3.02507,0.92544,5.39263,2.12442,3.30571,0.59792,1.70211,2.25867,3.13954,2.57386,1.37527,1.32594,0.36828,1.71215,1.9426,0.71496,0.83028,1.26249,1.40931,0.38875,1.2589,0.81676,1.39455,0.37218,1.38821,0.67006,0.77067,0.33615,0.64662,0.16379,0.63607,0.43027,0.16863,0.13609,0.7187,0.3049,1.22774,0.27849,0.45782,0.10096,0.54831,0.1992,0.63097
"Extant","Alcelaphini",,,,1,"LM2","mand",3086,238.669098,104.542099,17.960751,4.98413,21.09775,44.898392,1.43357,16.09519,5.05594,8.29854,3.99037,4.95583,0.77573,9.39268,2.74088,3.48599,0.60756,1.53896,0.66218,4.67056,0.56594,1.93084,0.47984,1.35672,1.28729,2.28852,1.0272,0.47423,0.94279,0.87097,0.83504,1.91406,0.87333,0.36468,0.64385,0.83184,0.1608,1.0304,0.1533,0.43472,0.34782,0.32514,0.18395,0.90521,0.5608,0.24602,0.41968,0.40994,0.31204,0.52178,0.29296,0.28772,0.16066,0.03143,0.12723,0.32057,0.24884,0.12201,0.11028,0.18799
"Extant","Alcelaphini",,,,1,"LM2","mand",3098,230.373901,102.2752,25.20401,10.26034,24.326799,52.685711,1.37677,15.74928,4.79445,10.006661,2.55527,5.10324,0.70317,9.95559,1.96186,3.81442,0.64559,1.21544,0.35852,5.74498,0.3132,1.1391,1.22956,1.031,0.74806,2.96006,1.78143,1.01045,0.45298,0.91196,1.01095,2.55957,0.2135,0.93821,0.69518,0.81216,0.2232,1.27924,0.47529,0.43171,0.35885,0.17745,0.29354,1.08889,0.05034,0.3945,0.4858,0.31588,0.25547,0.60325,0.08237,0.03239,0.19786,0.09532,0.20228,0.47995,0.09181,0.17212,0.36174,0.3996
"Extant","Alcelaphini",,,,1,"LM2","mand",3103,225.675797,104.594399,21.894369,12.78002,21.356819,57.97773,3.43193,12.34267,2.85711,11.26052,0.58629,2.69439,4.34712,9.13965,3.15559,3.97846,2.19204,1.94802,1.34479,4.84235,2.14162,3.13589,0.54545,0.98042,0.34725,2.14614,0.73015,1.04381,1.32855,0.23494,0.98214,2.08154,0.61553,1.22553,0.25154,0.26765,0.83275,1.40719,0.47369,1.09104,0.21896,0.31819,0.30188,0.73594,0.16335,0.71634,0.23555,0.32267,0.27141,0.57444,0.12002,0.4369,0.20761,0.40601,0.22638,0.13354,0.10508,0.162,0.19645,0.09578
"Extant","Alcelaphini",,,,1,"LM2","mand",3107,241.752197,107.820999,14.9398,5.56569,24.088511,56.943859,4.23123,12.19242,5.45235,12.00879,1.56226,2.19528,3.20418,10.16089,1.86323,4.4785,1.3661,2.26289,0.61866,3.63427,0.70802,1.82584,1.65637,1.95759,1.00939,2.53925,0.9457,1.05083,0.46967,0.47313,1.62462,1.8548,0.47763,0.50037,0.3886,1.20736,0.11659,1.67483,0.34148,0.55667,0.35228,0.51204,0.4408,0.61144,0.20472,0.26875,0.51074,0.83162,0.07416,0.47973,0.29109,0.3095,0.12348,0.41333,0.1572,0.28537,0.31154,0.08924,0.17353,0.56347
"Extant","Alcelaphini",,,,1,"LM2","mand",3111,250.135101,107.041802,17.246969,1.47187,23.901011,49.638519,2.11438,16.83321,4.9858,8.17669,2.47503,5.44431,1.04535,9.591991,2.66258,3.24204,0.60265,1.901,1.4221,4.30804,0.87428,1.55156,0.57934,1.88983,0.7551,2.81405,0.95647,0.84143,0.98094,0.78831,0.93302,1.94683,0.12105,0.37589,0.78142,0.96746,0.11316,0.80221,0.39438,0.45589,0.65098,0.46774,0.08942,0.79128,0.35611,0.3273,0.4603,0.41173,0.31399,0.34222,0.22859,0.37706,0.12703,0.43863,0.40466,0.26634,0.09413,0.20536,0.15446,0.31064
