,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3019,183.0746,109.092598,20.901609,27.95388,20.053949,50.392288,5.17003,6.77794,6.18653,11.58475,3.24061,4.51845,4.57834,5.13386,1.57071,3.05512,1.35957,4.57658,1.0275,0.65902,0.5389,3.10504,1.14616,0.47156,2.06437,0.30371,1.75829,1.26024,1.58443,1.42664,0.68292,0.85311,0.71425,0.72632,0.39514,0.60342,0.22718,0.87423,0.6802,0.53638,0.06733,0.39591,0.43061,0.75578,0.59851,0.22175,0.30664,0.18732,0.34167,0.70818,0.41975,0.23273,0.16022,0.05718,0.31147,0.57509,0.19805,0.17011,0.33496,0.10943
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3023,208.904205,118.321701,20.46151,20.25757,22.017229,53.750721,5.88045,7.53802,7.35344,12.20253,2.39933,0.75544,3.39695,6.81675,1.51894,1.78973,0.51422,4.59825,0.82026,2.73959,1.10095,2.50315,0.88326,2.34989,2.0301,0.89296,0.72566,0.24112,1.13537,2.0511,0.9869,0.652,0.17559,1.29027,0.34297,1.70941,0.58522,0.62702,0.14932,0.2216,0.56475,1.04984,0.74044,0.37308,0.16332,0.363,0.31442,0.8493,0.06685,0.5384,0.22583,0.20483,0.10164,0.39297,0.10345,0.19188,0.10704,0.2105,0.30986,0.43153
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3027,166.854401,104.956596,21.89732,33.740929,17.846769,43.435921,8.88211,6.97932,5.88488,9.62858,8.35305,3.77651,2.09462,3.45413,1.12189,3.89719,2.16544,2.64069,0.99135,1.66276,0.99253,1.37708,1.66613,0.78715,0.88254,0.64037,0.43361,1.31152,0.94976,0.0375,0.74162,0.71307,0.55034,0.92443,0.44282,0.20509,0.19471,0.35246,0.26322,0.27233,0.16209,0.35412,0.4646,0.55726,0.12798,0.09177,0.2936,0.47693,0.23597,0.33332,0.2954,0.17281,0.11966,0.24719,0.17833,0.29393,0.01265,0.22588,0.09833,0.2932
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3031,210.380005,108.040001,20.963301,14.35911,20.605619,55.100208,3.04937,9.968,5.6771,11.31412,2.32039,2.86608,3.35971,8.4293,1.85283,4.04909,1.35136,4.16099,0.85001,2.6009,1.36881,2.39257,1.74794,2.53195,1.48866,1.0678,1.20848,1.07499,1.92282,2.32446,0.56048,0.94006,0.76358,1.10682,0.79297,1.47752,0.57817,0.07279,0.50701,0.27765,0.50318,1.09693,0.392,0.63985,0.40613,0.26092,0.02011,0.84844,0.07616,0.11983,0.29115,0.25679,0.21763,0.42517,0.17395,0.10066,0.18378,0.04322,0.24777,0.55119
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3035,178.469498,104.784103,17.789921,21.06497,19.325411,54.289131,7.59191,7.04849,8.04864,9.97467,5.58542,4.2616,3.8907,5.54029,2.00091,3.26444,3.18221,5.67613,1.90647,1.72902,0.6488,1.42385,0.5821,2.12701,2.26916,1.25765,1.63366,1.18145,0.69736,1.51338,1.26545,1.25221,0.19683,0.88265,0.4577,0.41243,0.27513,0.75488,0.28268,0.99409,0.16721,0.60087,0.03944,0.5313,0.64702,0.53372,0.02645,0.84339,0.27267,0.09948,0.29685,0.20127,0.20327,0.61716,0.03458,0.10493,0.10388,0.30548,0.19744,0.28535
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3039,186.3405,96.393204,24.949671,22.948959,21.215309,55.876782,7.40255,7.27005,4.01614,8.86609,2.8838,3.55159,5.90891,3.77044,1.12894,3.8625,2.40031,4.09724,1.4266,1.51134,0.89923,2.55378,1.43847,1.71324,1.41414,1.65736,1.59779,0.84268,1.51691,1.19206,0.46967,1.36915,0.1476,0.21926,0.38174,0.67203,0.16052,1.10824,0.25763,0.24001,0.26633,0.2106,0.37738,0.99745,0.0565,0.31059,0.24499,0.29449,0.1217,0.4796,0.23328,0.40727,0.2145,0.28258,0.23903,0.14711,0.18887,0.3543,0.15836,0.32389
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3043,207.338394,107.811302,28.96954,18.744749,20.25618,54.129849,2.12883,11.01432,6.06108,10.38694,0.91605,2.36231,3.60539,6.34139,0.61151,2.73984,0.86766,4.32423,1.12389,2.40983,0.44449,2.65463,1.12985,2.41843,1.34375,1.11966,0.28139,0.90499,1.30286,1.8103,0.42404,0.83874,0.67078,1.0601,0.03639,1.81255,0.06825,0.65158,0.29076,0.40493,0.12659,0.71063,0.30535,0.34591,0.33648,0.40152,0.38627,0.80505,0.2479,0.48574,0.16999,0.15435,0.08289,0.45912,0.10172,0.268,0.17442,0.09773,0.17194,0.5687
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3047,180.235703,128.769608,22.553539,28.96427,17.545429,37.201908,8.98365,9.90993,9.34674,10.27034,5.86889,2.63908,1.96303,3.74479,1.50699,2.54139,0.52996,3.19177,0.70679,2.54246,1.35339,1.02962,1.67227,0.8661,1.49735,1.12341,0.35776,0.308,1.32606,0.70556,0.98501,0.87579,0.62085,0.58759,0.36566,0.98016,0.53676,0.29288,0.0936,0.3288,0.12924,0.4638,0.51427,0.33043,0.06833,0.27613,0.25788,0.44188,0.1989,0.12748,0.09358,0.3594,0.14377,0.2751,0.11843,0.12626,0.21992,0.24801,0.03906,0.42263
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3051,187.400696,109.2332,18.890751,16.556231,21.570061,52.0215,4.47794,7.82887,11.236,10.44184,2.83116,3.82338,4.71779,7.99079,0.98038,4.36516,2.46337,5.27912,0.74916,0.99347,1.92951,2.12942,1.47713,0.64938,2.25588,0.6012,0.48062,2.04274,1.3086,1.81711,0.71682,0.57263,0.74764,1.71115,0.63204,0.85145,0.25567,0.79832,0.03413,0.95261,0.45891,0.81413,0.08377,0.757,0.11015,0.71119,0.08663,0.52343,0.14873,0.51133,0.09758,0.43435,0.19854,0.394,0.22018,0.57618,0.0235,0.17173,0.04311,0.25333
"Extant","Alcelaphini","Alcelaphini",,,1,"LM1","mand",3055,195.013702,104.127998,26.09156,25.25098,20.32089,52.441471,4.8533,5.94555,8.81051,8.9264,4.75976,1.39287,4.62735,6.00526,1.23499,2.4525,2.10252,5.4524,1.68148,1.54111,1.13919,1.74823,1.10445,1.1366,1.74273,0.87685,2.01672,0.87295,0.8105,1.81197,1.00231,1.57122,0.25058,0.69761,0.23123,0.62188,0.49546,0.80374,0.45238,0.40291,0.19537,0.31212,0.38079,1.04111,0.58843,0.34203,0.19611,0.49021,0.31911,0.45664,0.22173,0.25273,0.22487,0.42469,0.04565,0.19469,0.12101,0.10376,0.25257,0.30321
