,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2937,257.889587,174.700195,15.67888,25.05109,20.61198,47.381279,10.68491,10.71945,7.72809,16.53862,2.89979,8.06152,0.62609,8.37161,4.77619,6.06796,3.97798,5.72456,0.93064,4.49258,2.6633,5.44162,1.61535,5.01516,2.61255,3.09736,2.68399,2.24392,1.49808,1.14094,1.34013,1.8918,1.33706,1.28589,0.59284,0.64303,0.70299,0.83374,0.88712,0.47084,0.1413,0.32256,0.97231,0.35576,0.50081,0.82415,0.34341,0.67602,0.33691,0.24002,0.63626,0.19568,0.21811,0.30889,0.42797,0.27843,0.53842,0.40666,0.18263,0.43024
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2941,239.059403,197.315903,19.555719,32.12738,17.61265,38.259789,7.37002,4.68693,5.35383,13.92573,6.94828,5.93836,4.20972,6.75395,2.93762,5.4401,4.22476,5.81681,2.275,2.34405,1.46167,6.91189,1.54967,2.84565,1.71863,3.2081,2.29908,1.16786,3.12747,0.79445,1.24174,1.5814,1.65245,1.09527,0.05883,0.4125,0.8353,0.48895,0.6744,0.70121,0.54198,0.27723,0.84607,0.52188,0.72549,0.74048,0.86978,0.33429,0.53895,0.11208,0.33406,0.1857,0.21914,0.62658,0.29292,0.40341,0.33007,0.36693,0.37637,0.32617
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2945,259.9086,148.969696,10.1056,19.86565,14.38598,35.516129,6.47252,12.30572,4.6883,8.54826,1.76318,4.52689,2.43437,8.52581,0.74487,6.46079,2.79144,4.90588,0.50984,2.41771,0.99885,3.66711,1.21581,2.13575,1.33386,0.62589,1.20819,1.87946,1.31394,0.69383,1.15092,0.95301,1.06261,0.98357,0.77273,0.78081,1.00882,0.65543,0.58292,1.24336,0.12517,0.95962,0.34484,0.51866,0.37931,0.53309,0.13254,0.52076,0.29477,0.30624,0.42126,0.02796,0.15233,0.14297,0.3052,0.0258,0.09959,0.114,0.05806,0.16151
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2949,258.207214,150.042099,15.64794,22.394711,20.88744,37.069271,8.80501,15.60397,3.96892,9.38837,3.61455,7.88209,2.92443,9.16331,4.52559,4.39942,2.28512,6.77561,1.08804,1.3832,3.72483,4.48083,1.12357,2.26573,3.17386,2.18754,1.09338,1.2968,0.62114,1.50547,1.36723,2.0964,0.7617,0.11292,0.50607,0.27137,1.02068,0.89941,0.36236,0.78391,0.79953,0.19561,0.62169,0.83972,0.52606,0.5063,0.46039,0.49729,0.59035,0.83189,0.16854,0.4823,0.75351,0.20692,0.40307,0.17868,0.23888,0.09183,0.23683,0.21505
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2953,231.518494,122.810097,2.91566,22.4293,20.427839,28.176991,10.10043,21.38835,4.0215,16.28994,2.74562,1.14849,1.62368,6.99786,1.5444,6.0264,1.51477,3.52659,0.81707,3.53943,1.77828,2.10753,1.05056,2.67595,0.93054,2.45103,0.98795,2.04095,0.80669,0.42856,0.19734,1.25859,1.23812,1.03969,1.28545,0.47778,0.52958,1.29803,0.2724,0.59459,0.28865,0.38001,0.28017,0.56223,0.72011,0.29175,0.53528,0.48752,0.34546,0.04555,0.61259,0.14727,0.21546,0.41573,0.24322,0.15713,0.33453,0.22941,0.42149,0.1901
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2957,265.150909,174.509399,17.76404,22.66769,16.744471,46.095482,10.01767,11.29709,6.75007,16.418539,3.12237,6.49821,1.37521,4.98728,3.34031,7.85426,3.48133,1.54144,2.16307,4.65928,2.13291,3.19715,2.53185,5.1883,1.44052,1.92403,2.88869,3.08221,1.04229,2.02533,0.44807,0.66848,1.04746,1.35311,0.65091,0.54477,0.50945,0.36576,0.79819,0.34221,0.56407,0.51565,0.69474,0.36724,0.53819,0.81419,0.27217,0.1046,0.50589,0.45836,0.25042,0.34985,0.09095,0.278,0.64788,0.38523,0.20108,0.31272,0.29074,0.26495
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2962,251.393601,172.371796,20.26751,20.495001,17.58614,42.19828,9.67435,12.91258,7.16931,14.48347,4.80931,8.77451,0.74379,5.88992,3.7193,6.97906,3.27773,3.45948,1.37641,2.93623,1.48682,5.70421,1.89853,3.80958,1.18848,3.50235,1.71941,1.2599,1.64371,1.2086,0.39197,1.37466,0.6436,0.93132,0.78288,1.26765,0.25451,0.62079,0.61969,0.5002,0.29339,0.76655,0.54942,0.17929,0.35412,0.59906,0.55874,0.5482,0.21687,0.17902,0.36656,0.21463,0.19804,0.33376,0.25228,0.14331,0.35085,0.17527,0.17353,0.33176
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2966,266.324799,174.473007,33.35807,16.39786,27.787861,44.582531,9.174,13.3672,10.88487,13.33187,3.63627,7.1329,2.00834,8.23976,2.03266,6.71921,4.03752,5.9625,1.04546,5.56831,0.46933,5.47392,2.79379,1.05926,2.42359,5.32675,1.84621,0.54812,2.7467,1.14784,1.19396,2.28024,1.84699,1.97097,0.93509,0.35595,0.96864,0.48709,0.57247,1.57349,0.98554,0.53571,0.72389,0.22147,0.48295,1.11985,0.07914,0.46037,0.73964,0.55087,0.98606,0.42737,0.11661,0.6005,0.05393,0.20462,0.8221,0.24779,0.20608,0.07205
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2970,250.666199,147.458298,9.59699,22.420891,16.9657,32.759312,7.27298,10.66459,4.12282,10.87,1.09583,4.67344,2.86489,6.40712,1.97596,7.69963,1.47006,2.02731,1.16363,3.76439,2.64597,3.13095,1.06961,2.54902,1.62236,1.06344,0.41968,2.03517,0.12565,1.6449,0.55797,0.5209,0.2401,0.54874,0.7221,0.77373,0.53374,0.89596,0.34585,1.04272,0.12814,0.52547,0.11545,0.69069,0.44259,0.47548,0.13233,0.30113,0.53497,0.33141,0.4899,0.41382,0.07618,0.4247,0.21683,0.06977,0.13539,0.26614,0.29614,0.32166
"Extant","Alcelaphini","Alcelaphini",,,1,"UM3","max",2974,257.5495,153.366394,19.434719,17.603291,18.12274,42.663921,7.38803,17.259211,4.80952,15.77694,3.00924,8.01606,1.6864,5.42849,2.70015,9.37217,1.94763,1.86415,1.60484,3.47854,1.55382,4.28695,1.23121,4.03269,1.40323,1.98254,2.05259,2.1001,0.66005,1.10525,1.0107,0.60999,0.87526,0.28976,0.69987,0.77875,0.8194,1.01968,0.64668,0.82218,0.453,1.28072,0.18706,0.2704,0.53732,0.07853,0.40737,0.56691,0.32045,0.48835,0.42251,0.23423,0.25914,0.16294,0.32774,0.5748,0.15029,0.20244,0.38107,0.08796
