,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"UM1","max",2979,264.275085,178.423599,5.55358,25.311831,12.05345,41.971588,2.30445,21.715179,7.11072,5.9288,2.32146,13.01927,2.31263,8.51729,3.05643,4.24292,1.47074,3.92413,0.81994,6.32976,2.30896,6.28112,1.58416,4.91418,1.22934,1.59007,2.50598,2.24711,1.17623,3.36938,0.68498,1.00227,0.55018,0.91149,0.2784,0.88459,0.6769,0.54485,1.18198,0.72355,0.29944,1.17806,0.53927,0.56406,0.2031,0.7206,0.52967,0.3485,0.06115,0.47225,0.62162,0.183,0.46434,0.18881,0.39108,0.22635,0.21605,0.37719,0.17215,0.22695
"Extant","Alcelaphini",,,,1,"UM1","max",2983,235.917694,176.167297,14.76872,1.40432,14.39791,43.150059,3.35764,16.026011,9.31995,9.22584,3.47783,12.61926,1.546,5.29246,0.4789,4.2289,2.42241,4.63386,2.7287,2.69332,0.43829,1.22021,2.73703,4.65591,0.85889,2.49035,0.27244,1.38219,0.65168,1.6365,1.34348,1.35907,1.05806,1.95128,0.36059,0.33284,0.28714,0.59762,0.05368,1.02164,0.21185,0.49578,0.33957,0.18549,0.12804,0.99837,0.45422,0.45202,0.21504,0.58634,0.20432,0.26083,0.04321,0.23551,0.21637,0.49612,0.06213,0.33535,0.1485,0.09847
"Extant","Alcelaphini",,,,1,"UM1","max",2987,201.295197,172.487793,5.59001,5.15434,15.4518,41.738972,7.06903,8.72884,9.64007,13.62573,2.51144,11.412561,0.97019,6.05801,1.17185,3.60557,1.63459,5.90799,1.1449,1.8972,0.26539,2.74367,0.32015,2.9869,2.12529,2.30259,0.42587,2.37157,0.63742,1.10906,1.11004,1.06475,1.05759,1.85022,1.03677,1.34745,0.33226,0.46595,0.14108,1.04741,0.58487,0.84891,0.59781,1.16071,0.35271,0.20502,0.43244,0.68143,0.2804,0.66723,0.1756,0.52082,0.2893,0.37113,0.19945,0.25884,0.16437,0.40471,0.32315,0.19701
"Extant","Alcelaphini",,,,1,"UM1","max",2991,235.191406,176.342499,4.08831,8.97469,7.43948,44.292549,2.90128,16.91293,7.0042,8.4541,2.10102,12.03621,1.76494,6.11235,3.10995,5.13465,1.29586,7.4444,1.44932,2.62545,0.85595,1.71644,0.86698,3.39262,1.13486,2.18716,1.22095,0.68131,1.09708,1.83375,1.18565,2.25576,0.67093,1.41156,0.6702,0.95993,0.44629,1.03816,0.33662,1.6086,0.23709,0.71387,0.19878,0.52551,0.24711,0.57997,0.24982,0.46891,0.31625,0.35981,0.46047,0.25772,0.33153,0.1098,0.04608,0.50957,0.11204,0.01378,0.20705,0.38116
"Extant","Alcelaphini",,,,1,"UM1","max",2997,262.700195,187.444901,6.26222,16.859591,11.83414,45.2416,5.09176,19.13632,6.89334,4.28261,4.3628,18.79862,1.1169,4.71307,1.58197,3.39043,1.6444,6.01709,1.66251,1.01262,1.82034,2.58354,1.83764,3.91297,1.04746,2.67145,0.4605,1.91786,0.88502,2.29729,1.87897,1.59378,0.46877,3.44858,0.94612,0.75015,0.77635,1.33361,0.40337,0.81486,0.49657,0.15817,0.85096,0.95237,0.61721,0.44173,0.28416,0.11704,0.1083,0.47201,0.25533,0.34324,0.12654,0.30952,0.12692,0.25252,0.25461,0.10824,0.10537,0.16947
"Extant","Alcelaphini",,,,1,"UM1","max",3001,243.766693,170.179993,2.389,15.41067,11.11065,38.13689,4.14012,15.51496,8.53118,5.12621,3.45945,12.80206,0.11452,4.67407,1.50571,1.15368,1.93687,6.56819,1.1719,1.67809,0.68781,4.31109,1.23658,5.57191,0.95337,2.31848,1.13787,2.10966,1.86721,3.35897,0.59335,1.50958,0.53797,2.31552,1.28189,0.68897,0.3802,0.1573,0.34794,0.70493,0.62518,0.46618,0.39594,0.49486,0.53346,0.63802,0.22654,0.09689,0.29411,0.21057,0.1996,0.1723,0.17706,0.10956,0.17947,0.34917,0.34778,0.13651,0.13354,0.45729
"Extant","Alcelaphini",,,,1,"UM1","max",3005,244.353195,182.422195,2.37319,15.78413,5.7678,41.457562,2.51261,15.7694,7.69022,5.37007,3.99573,14.74852,1.96606,4.67649,2.08838,5.08016,2.34887,6.89953,1.98092,2.17418,0.55853,1.89705,1.07189,3.05346,0.8825,2.15411,1.27022,0.82924,1.38171,2.08165,1.65181,2.29342,0.42,2.28188,0.47885,0.81961,0.27934,0.2182,0.44769,0.90066,0.57135,0.50305,0.50031,0.66035,0.25488,0.3002,0.07564,0.14854,0.34718,0.39912,0.62471,0.16521,0.38981,0.10105,0.36058,0.07754,0.09699,0.16966,0.4275,0.46333
"Extant","Alcelaphini",,,,1,"UM1","max",3009,196.439606,185.076004,2.5114,9.82507,30.890329,24.7547,9.75951,6.46615,11.57959,17.50737,5.49259,7.36369,2.90398,6.52735,3.75348,3.96173,4.40871,2.30559,1.00757,1.50823,1.25886,4.24221,1.2173,1.95269,1.74064,1.13749,1.3413,1.79746,1.41264,0.88859,0.62464,1.01598,0.89308,1.23895,1.2956,0.71234,1.01851,0.99393,0.71794,0.4899,0.58574,0.23946,0.87808,0.8597,0.69719,0.38277,0.39975,0.54392,0.12642,0.38991,0.42989,0.07904,0.47762,0.49135,0.38797,0.1689,0.23494,0.10797,0.06145,0.39264
"Extant","Alcelaphini",,,,1,"UM1","max",3015,215.621307,173.761398,7.26163,23.85047,12.27107,35.450851,1.55229,17.53393,7.84047,5.0812,3.59828,15.78432,1.82446,5.12969,2.48933,6.83818,0.18029,4.43704,1.57175,4.04825,1.00171,3.44994,1.56962,4.6942,0.32108,2.04006,1.8131,1.63222,1.20251,2.54462,1.63762,2.45313,1.08304,0.98155,0.67342,0.43737,0.2195,1.02815,0.75474,0.19948,0.79946,0.6236,0.81821,0.65213,0.42652,0.73561,0.27048,0.57625,0.2455,0.0531,0.19361,0.21537,0.46831,0.67256,0.44905,0.21602,0.35592,0.31643,0.03439,0.19345
"Extant","Alcelaphini",,,,1,"UM1","max",4054,239.746704,149.234207,13.7656,4.57346,14.78919,40.767311,2.71148,13.87923,6.57008,7.80417,2.28739,9.99775,0.90796,5.4235,1.44542,3.15899,1.22297,4.97213,1.78922,1.95704,1.23914,4.59788,0.79098,2.71109,0.48501,3.06345,0.52784,1.38228,1.32841,1.29834,0.4261,2.54935,0.84528,0.66679,0.59364,0.30829,0.3889,0.26176,0.3601,0.68888,0.87174,0.47852,0.59926,0.58868,0.45609,0.58166,0.40792,0.48036,0.43581,0.3462,0.31204,0.47712,0.16613,0.3249,0.45255,0.41756,0.00911,0.5142,0.09453,0.40632
"Extant","Alcelaphini",,,,1,"UM1","max",4058,214.398193,174.927307,3.89261,6.64013,13.11915,33.916988,1.73135,9.56378,6.8788,10.71087,3.77125,9.01209,1.22943,6.09919,0.55626,5.03188,2.13318,4.7977,1.38981,2.98341,0.60249,0.962,0.70221,3.48914,1.39194,1.00309,0.92844,0.51442,0.38853,2.12161,1.31935,1.88629,1.1361,1.10429,0.28798,0.57528,0.51349,1.5445,0.47145,0.84009,0.15671,0.51786,0.30352,0.04966,0.44369,0.76949,0.28188,0.42283,0.226,0.17387,0.2604,0.2219,0.16718,0.3019,0.13962,0.30938,0.22209,0.33205,0.16937,0.36858
"Extant","Alcelaphini",,,,1,"UM1","max",4062,241.590698,165.416702,5.26116,15.89027,13.95053,42.850311,3.76519,20.69478,9.27652,7.60427,1.72171,14.25859,1.42504,7.5594,2.27003,2.97549,1.98707,5.85841,0.64124,3.7084,2.41436,4.2959,1.2388,4.38618,0.4702,0.97781,1.75674,1.95458,1.12676,3.27615,0.79658,1.97933,0.70707,0.54385,0.73724,0.91942,0.46138,0.9273,0.87307,0.2931,0.9351,0.83519,0.26397,0.93461,0.0573,0.82623,0.59195,0.52117,0.38741,0.44063,0.38701,0.18303,0.4172,0.09484,0.31875,0.1988,0.26582,0.49276,0.03553,0.26287
"Extant","Alcelaphini",,,,1,"UM1","max",4066,221.718796,174.115097,7.65249,9.04622,8.49951,45.955929,6.13,15.88002,12.58088,8.97692,1.93918,11.34834,2.41004,7.27293,1.27537,5.73227,1.2729,6.36528,1.77649,3.73918,0.52429,3.26499,1.15762,4.8894,1.53909,1.55133,0.53332,1.48373,1.24364,3.68711,1.42445,1.7592,0.85166,1.13141,0.55369,1.15274,0.28874,1.70675,0.26061,0.85784,0.62544,0.80216,0.50986,0.3601,0.08775,0.81221,0.7237,0.31504,0.4061,0.43417,0.00424,0.51021,0.04227,0.58548,0.38175,0.34378,0.00868,0.31616,0.28839,0.30749
"Extant","Alcelaphini",,,,1,"UM1","max",4070,202.455704,179.131104,5.61929,1.5195,11.863401,39.965469,2.56774,14.10669,14.02961,13.17804,3.08305,12.31683,1.6683,5.6972,1.50632,4.54313,0.48363,4.84676,0.82633,2.36093,1.41747,1.93484,1.04293,3.40217,1.74689,1.14475,0.9019,0.70292,0.73673,1.55245,1.8253,1.29201,0.63995,1.23635,0.76469,0.50586,0.69054,0.52734,0.14423,1.05198,0.3031,0.03441,0.43446,0.59297,0.56508,1.01722,0.49115,0.71107,0.0769,0.3376,0.29263,0.36313,0.4099,0.45164,0.25837,0.33699,0.11884,0.21204,0.27833,0.32094
"Extant","Alcelaphini",,,,1,"UM1","max",4074,222.932999,176.948395,5.93865,11.48223,8.94554,42.490162,4.54256,13.75093,8.041781,11.71215,4.84869,12.39263,2.30398,7.35485,2.78173,2.20592,2.39404,6.85633,1.24805,1.44568,1.3241,2.43612,1.49745,2.90597,1.39733,2.91186,0.11289,1.54296,1.28201,0.24102,1.2671,2.06211,0.91624,1.33667,0.62889,1.63429,1.0494,0.57211,0.48422,0.74349,0.16489,1.12162,0.44179,0.40639,0.33244,0.44832,0.42603,0.72368,0.25653,0.40657,0.12323,0.43802,0.44584,0.14317,0.41491,0.17059,0.32298,0.39931,0.23875,0.38703
"Extant","Alcelaphini",,,,1,"UM1","max",4078,230.104507,172.854096,4.93696,14.25146,11.1112,41.204811,5.86176,17.906281,5.58295,9.15417,3.48079,13.483831,1.41265,7.56532,3.92858,3.74178,2.29924,7.57217,1.0316,1.79685,2.28976,2.95221,1.15947,3.52477,0.83973,3.44781,1.15978,0.77346,1.49782,0.80368,1.11215,2.49195,0.63479,1.2439,0.48088,1.52097,0.3413,0.56892,0.24217,0.90762,0.82453,0.91679,0.33491,0.53185,0.93534,0.47964,0.20287,0.78804,0.18345,0.23564,0.52862,0.50494,0.21402,0.21194,0.17874,0.03963,0.48547,0.47905,0.24167,0.14802
"Extant","Alcelaphini",,,,1,"UM1","max",4082,188.039902,163.335205,7.58052,3.52872,18.096701,32.634861,5.08152,9.08144,9.23779,13.48973,4.49472,9.31999,1.7616,5.73894,2.14046,5.4035,2.93333,2.65391,0.56644,2.54922,0.7229,2.42687,0.55273,1.5703,0.83356,0.58992,0.61018,1.20432,0.68922,0.28067,0.88715,0.44977,1.0426,1.11332,1.0353,0.50253,0.42401,0.91857,0.56206,0.32426,0.33529,0.25579,0.68365,0.55434,0.16416,0.35947,0.05078,0.21618,0.27268,0.53286,0.22747,0.33003,0.27859,0.61477,0.17831,0.192,0.17472,0.06638,0.21107,0.36431
"Extant","Alcelaphini",,,,1,"UM1","max",4086,227.108902,171.582901,8.8698,19.429041,12.63684,43.473049,2.78505,15.95029,6.59972,11.81222,3.88723,12.55567,2.17775,8.61191,3.787,3.61891,0.79669,6.61556,1.48075,2.22517,2.56954,3.20615,1.17048,3.84398,1.22802,1.72645,1.93059,0.66717,1.70125,2.07136,1.73588,1.95628,0.17883,0.56657,0.45611,0.76517,0.43733,1.29002,0.63253,0.50988,0.69,0.38721,0.53129,0.59252,0.37501,0.67171,0.46759,0.84773,0.3008,0.19208,0.57856,0.12226,0.52315,0.40471,0.34525,0.17723,0.27354,0.24466,0.36732,0.47347
"Extant","Alcelaphini",,,,1,"UM1","max",4090,192.797195,185.077499,3.24987,7.22657,27.005449,29.89568,2.17278,9.13384,18.529699,8.69028,3.68009,9.04009,6.04032,3.5129,3.31811,3.72827,2.94921,5.45879,0.73344,1.95422,3.90943,4.09115,0.78038,0.42289,1.72578,0.65956,1.39382,1.09436,0.21159,0.91287,0.47516,1.48322,1.18094,0.76916,0.334,1.04999,0.72993,0.40587,0.72983,0.21394,0.47885,0.65905,0.84661,1.06121,0.2043,0.64898,0.27867,0.56376,0.25814,0.43346,0.24952,0.65312,0.12069,0.73185,0.42344,0.48948,0.18388,0.26126,0.08958,0.27771
"Extant","Alcelaphini",,,,2,"UM1","max",2812,284.213287,186.979599,12.99289,8.53128,16.070959,46.21545,2.32333,23.95447,8.91586,8.77005,2.24927,10.9172,2.2147,7.9879,3.39437,2.91036,1.57185,2.83219,2.02409,7.68456,2.9194,5.61732,1.1279,2.51744,0.81521,2.74767,1.33908,2.42873,1.05648,1.23148,0.2826,1.17397,0.7753,1.46343,0.2253,0.8526,1.1045,1.84633,0.99857,1.02771,0.36015,0.99854,0.72972,0.46242,0.38356,0.20846,0.40432,0.69911,0.52989,0.70867,0.44341,0.19961,0.31206,0.47553,0.28545,0.26099,0.28902,0.16799,0.46344,0.32999
"Extant","Alcelaphini",,,,2,"UM1","max",2816,261.64859,215.615295,12.42053,13.68378,15.85125,58.208141,1.84756,21.019739,12.43748,16.955111,1.87506,14.26598,2.05038,8.82321,3.47232,4.40306,1.19704,3.16413,3.40148,6.4644,1.56167,5.2475,1.62398,6.0686,0.45382,0.93779,2.51792,1.98858,1.43409,3.62655,1.49271,0.98677,1.184,0.87316,1.12042,1.97042,0.8314,0.74797,0.59355,0.44529,1.09212,2.20327,0.76254,0.77598,0.55743,0.66763,0.40483,0.91695,0.416,0.68521,0.52291,0.62029,0.21824,0.88494,0.29661,0.26575,0.24144,0.51898,0.31292,0.18673
"Extant","Alcelaphini",,,,2,"UM1","max",2820,305.690094,195.677795,14.48899,8.3365,21.206329,53.891602,3.83891,21.625561,5.22262,14.36998,3.20868,13.29267,0.97282,7.87525,2.69699,2.52457,0.24159,4.50636,2.86012,3.49993,2.65638,6.31748,1.26276,3.39398,0.17099,1.67454,1.69277,2.68498,2.03776,1.83097,0.85855,1.8986,0.38106,0.69391,1.01055,1.15302,0.62818,1.03275,0.45282,0.35796,0.93735,0.45289,0.28457,0.91167,0.21698,0.4055,0.46383,0.15282,0.26461,0.65359,0.45402,0.32559,0.32571,0.04359,0.06339,0.34089,0.29342,0.37947,0.14918,0.16745
"Extant","Alcelaphini",,,,2,"UM1","max",2824,227.463898,214.808304,12.68173,22.81876,51.120441,1.36189,10.52031,14.56653,23.61137,22.723379,1.60319,4.14518,11.01274,3.32968,3.3251,1.93719,5.54216,3.32435,3.89066,2.58213,1.3334,2.39012,0.84638,2.33515,2.41746,0.5678,1.70052,0.91977,1.75872,1.99239,0.50557,1.52899,0.59073,0.79584,0.56188,0.3819,1.27528,0.215,0.55221,0.63377,0.69016,0.47354,0.68269,0.70227,0.60435,0.21318,0.55167,0.28023,0.3442,0.26376,0.65036,0.04542,0.5933,0.35147,0.43103,0.33813,0.06245,0.01795,0.41556,0.15615
"Extant","Alcelaphini",,,,2,"UM1","max",2828,278.058899,193.178604,20.061831,16.76552,20.081659,48.481682,1.96051,17.74596,9.20866,11.13419,0.40061,12.73596,3.29363,6.05264,1.0659,2.14145,1.50511,3.52803,3.58118,2.41161,0.42161,3.50706,0.75794,3.36746,0.17506,1.92342,0.66881,1.78478,1.11294,2.03023,0.66715,1.20511,1.05097,0.85667,0.72843,1.4745,0.22202,0.84822,0.58429,0.83283,0.73268,1.06496,0.40055,0.6172,0.18529,0.66056,0.24536,0.58861,0.46572,0.46244,0.43999,0.38016,0.28943,0.39376,0.44967,0.32166,0.08134,0.32847,0.24157,0.08884
"Extant","Alcelaphini",,,,2,"UM1","max",2832,284.072601,195.914398,10.28998,6.8205,17.52742,50.346661,4.4277,25.161591,5.56126,9.81448,3.06891,16.265881,0.36657,8.03271,3.60562,2.65337,1.2833,4.07094,3.03115,3.75316,3.17181,6.62839,1.34397,5.33549,0.82898,1.7561,1.61409,1.92229,1.53746,3.2112,0.55355,2.54294,1.18381,0.64637,0.77645,0.931,0.86499,0.51243,0.71339,0.42972,0.71559,1.02802,0.48616,0.98481,0.14579,0.58238,0.1767,0.06679,0.55122,0.44139,0.16929,0.60424,0.62491,0.48374,0.44678,0.04954,0.25694,0.13069,0.1042,0.12632
"Extant","Alcelaphini",,,,2,"UM1","max",2836,222.374802,211.264099,35.880718,28.89451,28.700991,54.947331,14.23233,14.99281,15.71562,19.84486,5.52205,5.48456,4.41011,3.00393,1.65658,4.38659,2.72373,3.77808,1.46773,2.61683,3.02374,4.27584,2.7239,2.85364,0.34018,3.03559,1.08023,1.3273,0.7598,0.22295,0.46257,1.63621,1.95515,0.54944,0.54225,0.59907,0.96618,2.07546,0.50129,1.34597,0.52648,1.56419,0.63184,0.47724,0.71416,0.46466,0.38522,1.06365,0.37343,0.63094,0.17408,0.73093,0.2009,0.39488,0.38951,0.0617,0.11671,0.4013,0.03873,0.37612
"Extant","Alcelaphini",,,,2,"UM1","max",2840,222.287003,203.434799,10.22562,20.06695,44.35154,17.279539,9.08645,12.19121,20.707939,20.5061,7.68996,1.25095,4.91751,2.31173,6.0667,5.15446,4.13803,2.60874,4.94034,0.95962,4.42917,1.77942,1.45239,1.61788,1.99609,0.87918,0.32352,1.2234,0.36456,1.81112,1.53281,0.59007,1.14921,1.58508,1.71736,1.17151,0.77141,0.53075,1.01242,0.5177,0.32899,0.4053,0.26751,0.49334,0.61521,0.55959,0.14237,0.35091,0.62196,0.47302,0.49826,0.67069,0.50783,0.5613,0.26379,0.29024,0.07813,0.15816,0.32854,0.67302
"Extant","Alcelaphini",,,,2,"UM1","max",2844,227.064194,198.821106,14.61004,9.865151,4.96239,31.198139,3.19862,6.14086,14.92442,9.60855,4.75733,9.3853,4.12109,4.20445,0.81123,4.9565,1.46137,3.44865,0.83974,1.25348,1.83441,1.4353,1.521,3.26281,0.94157,1.44981,1.17841,2.44534,0.3952,0.98711,0.31136,1.8042,0.42461,1.00578,0.34113,0.72364,0.41661,0.17916,0.35856,0.36214,0.09722,0.6307,0.1006,0.56184,0.47968,0.42176,0.12009,0.89196,0.23056,0.19439,0.20104,0.3028,0.11923,0.64216,0.11987,0.33011,0.07792,0.69062,0.20324,0.21183
"Extant","Alcelaphini",,,,2,"UM1","max",2848,255.126801,196.108902,16.49408,14.198031,15.41595,50.051361,1.98361,20.002529,12.74181,14.39988,2.849,7.74131,3.7893,13.37337,2.83114,3.8983,0.61969,6.01423,1.51924,7.09203,3.45232,4.70685,2.15129,3.04441,2.23301,3.33324,3.26679,3.02062,0.27115,2.33675,0.06061,0.63679,0.65469,1.83745,0.71657,0.8742,0.65945,1.21426,0.8594,1.65338,0.49114,1.52587,0.38567,0.79385,0.22628,0.97329,0.06248,1.10936,0.26236,0.12232,0.23242,0.58004,0.18072,0.59672,0.12584,0.46523,0.32758,0.56799,0.26522,0.53735
"Extant","Alcelaphini",,,,2,"UM1","max",2852,261.21579,184.969894,21.716921,8.12294,19.92569,51.785721,3.41877,21.94705,8.97837,11.92192,1.63148,14.15733,0.38454,6.89398,1.77542,2.50832,1.29123,4.13702,2.44792,3.34587,0.46044,4.04411,0.84559,4.70072,0.80874,1.87257,0.67416,1.06577,1.80633,2.65669,1.12979,1.55621,0.48932,0.12206,0.91887,1.78179,0.35946,1.07648,0.25012,0.66468,0.80163,1.00419,0.51939,0.99511,0.09905,1.05157,0.25905,0.31462,0.25215,0.69803,0.27493,0.41203,0.14348,0.63872,0.27878,0.19833,0.08224,0.34573,0.19174,0.31276
"Extant","Alcelaphini",,,,2,"UM1","max",2860,242.369003,182.700699,16.111271,4.55462,12.4539,48.19857,1.91834,13.76533,9.37281,14.40342,1.21603,8.04735,2.10547,7.40474,2.9961,1.56192,0.88838,5.25945,2.34971,3.34307,1.9865,4.20015,1.21799,3.34849,1.17846,2.00842,1.21152,2.0184,0.72969,1.5449,1.12118,1.23071,0.16678,0.78579,0.72476,1.56207,0.25411,1.60236,0.378,0.56894,0.15796,0.5078,0.51304,1.42146,0.30173,0.28304,0.36542,0.20936,0.3731,0.87497,0.11831,0.31072,0.27635,0.14268,0.17762,0.61164,0.1102,0.62596,0.06534,0.3506
"Extant","Alcelaphini",,,,2,"UM1","max",2864,254.238907,210.744202,26.56612,14.67057,12.08456,62.150181,9.16364,13.32591,15.3661,19.040939,2.78214,8.08287,5.11608,7.57218,0.93424,2.0761,2.82136,7.72829,1.84623,3.09305,1.20294,4.35591,2.10898,2.90226,1.68312,2.82663,1.21107,0.62769,1.76839,1.64542,1.11027,2.38084,1.25439,1.71859,0.0676,0.58003,0.71094,1.49662,0.53253,1.25117,0.60522,1.19259,0.59128,0.85315,0.24264,0.44481,0.47542,0.88788,0.20328,0.2765,0.1759,0.29805,0.54915,0.81994,0.15886,0.50922,0.1708,0.16916,0.15328,0.43336
