,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"LM3","mand",3017,278.936188,102.327499,7.81064,14.9278,30.878269,23.67601,4.44843,19.999291,7.10774,12.91834,11.13508,20.359079,4.71476,7.34567,0.99378,3.1738,2.10649,7.47334,1.51676,1.51695,0.51555,1.90886,1.50655,4.18881,0.74618,3.05895,0.75305,1.15416,0.4588,1.59695,0.8315,2.72764,0.52043,1.41924,0.88955,1.40131,0.41916,0.65733,0.06556,1.20613,0.2556,1.4392,0.32462,1.28033,0.27668,0.30457,0.05788,0.54173,0.42281,0.48356,0.17202,0.09371,0.36944,1.14754,0.28457,0.29141,0.18147,0.02299,0.22252,0.10341
"Extant","Alcelaphini",,,,1,"LM3","mand",3021,291.038208,103.757599,12.111,10.91838,34.777512,32.030781,3.60269,16.28216,4.33759,16.934759,6.78984,5.26071,6.67667,12.01347,2.56979,5.92918,1.9911,3.34514,2.60576,3.0365,1.29436,4.552,0.94985,3.21523,0.90818,1.30379,1.19632,3.00258,0.6928,1.67794,0.4861,1.07467,0.55242,1.21581,1.15996,1.89541,0.31382,0.71524,0.44735,0.56565,0.71228,0.90156,0.33658,0.28753,0.4326,0.65872,0.37055,1.04665,0.47987,0.48235,0.11608,0.32079,0.27828,0.1634,0.35845,0.03275,0.21044,0.60496,0.1114,0.54019
"Extant","Alcelaphini",,,,1,"LM3","mand",3025,318.2677,109.792099,23.481791,11.53704,33.827679,32.675629,8.36244,28.339319,10.12938,13.532991,11.68617,22.573071,5.00814,11.67288,4.28095,4.98194,1.80565,7.99679,1.4797,1.96475,1.9591,3.06893,0.93196,5.39628,2.55618,2.31993,1.1683,1.09514,0.55517,2.17514,0.33065,2.94235,1.75776,1.54761,1.41803,1.84655,0.49745,1.09074,0.17947,1.38147,0.2954,0.77059,1.01042,2.00566,0.49081,0.53279,0.23507,0.83303,0.51999,0.29473,0.49599,0.64181,0.18479,0.89816,0.22221,0.53912,0.26385,0.02654,0.48311,0.27443
"Extant","Alcelaphini",,,,1,"LM3","mand",3029,286.68869,85.547272,4.26206,12.5306,27.716141,21.16567,5.02351,17.963289,8.11405,8.51253,10.52244,12.58453,6.81775,7.70142,3.57882,7.15133,2.68944,6.9183,1.28307,4.77193,0.81141,2.99694,0.20542,3.96042,1.05664,1.78059,0.43996,1.55293,1.57525,1.28066,1.19071,0.72242,0.8068,1.11082,0.29418,0.55134,0.67538,2.23819,0.45029,1.07393,0.27271,0.81313,0.10725,0.88212,0.42273,0.44154,0.31608,0.7844,0.15682,0.22094,0.40708,0.27008,0.31472,0.52478,0.15638,0.269,0.34306,0.70486,0.26425,0.65121
"Extant","Alcelaphini",,,,1,"LM3","mand",3033,306.639404,102.551903,22.23558,10.91984,31.539311,24.78364,4.57349,28.148871,11.27806,17.56852,11.0475,22.849569,5.46318,7.50116,3.37154,5.52639,1.07762,6.57672,2.52392,4.06511,2.52675,4.89117,1.54035,2.9627,0.85737,3.71104,1.59995,1.93063,0.96247,0.24219,1.02355,3.50404,0.97985,2.14945,1.36086,0.77279,0.39876,0.79685,0.87668,1.35065,0.42778,1.39604,0.26123,1.30125,0.2368,0.8964,0.09829,0.42546,0.31411,0.56605,0.35414,0.73299,0.73938,0.34471,0.4859,0.64063,0.33355,0.75233,0.24943,0.22464
"Extant","Alcelaphini",,,,1,"LM3","mand",3037,291.508392,96.952499,22.088051,5.38501,30.14893,24.55673,7.65978,18.91264,9.40322,18.247999,7.21373,10.03202,4.55615,9.71622,1.19189,6.24584,1.82479,6.25152,1.26485,1.34324,2.33289,2.37455,0.66764,3.47893,0.82748,2.99037,1.43678,1.46546,0.48704,2.78161,0.35937,1.55368,0.82683,1.01357,0.70491,0.69452,0.93077,1.32895,0.37808,1.2272,0.30109,0.29952,0.2797,0.16406,0.13461,0.34126,0.30587,0.24424,0.26173,0.13349,0.43148,0.78369,0.3323,0.06877,0.38681,0.18613,0.23754,0.54717,0.03537,0.16409
"Extant","Alcelaphini",,,,1,"LM3","mand",3041,258.578003,81.663963,13.58201,9.90279,28.300699,30.12088,3.53849,11.65128,2.10157,14.69356,4.40039,4.48853,4.67919,11.02182,3.1313,1.8215,2.33572,2.44065,1.02016,2.55194,1.51616,6.41464,0.6876,2.31178,0.1625,1.55051,0.42823,1.14789,0.87175,1.05439,0.52068,0.8805,0.36084,2.0477,0.27434,0.70082,0.51203,0.48063,0.54679,0.25646,0.39227,0.81821,0.21099,0.65021,0.4837,1.09699,0.27308,0.13336,0.18529,0.42089,0.30665,0.0391,0.22089,0.26174,0.19878,0.44584,0.15854,0.54626,0.08458,0.14508
"Extant","Alcelaphini",,,,1,"LM3","mand",3045,300.415588,108.1176,17.08877,12.08668,32.287762,33.375351,2.31055,26.44871,7.91487,12.08177,10.5965,19.062481,5.01586,13.94941,2.76767,5.40948,2.0628,6.09551,2.15007,4.00917,1.03671,3.49466,1.66229,2.15574,0.92135,2.06545,0.41447,1.42594,0.46539,1.97345,0.82645,1.48205,1.68078,2.15242,0.64271,0.30032,0.53041,1.73139,0.20604,0.23903,0.10275,0.43078,0.36589,1.48584,0.16263,1.09361,0.48513,0.35546,0.66573,0.99602,0.39856,0.31742,0.52371,0.2635,0.19199,0.6831,0.33162,0.55235,0.09882,0.29185
"Extant","Alcelaphini",,,,1,"LM3","mand",3049,310.456513,101.579002,19.909269,10.2909,28.25284,28.37562,5.18268,24.801241,9.17419,18.294689,9.80565,17.93782,7.28407,12.19974,3.1042,6.46734,2.07472,7.64114,2.33479,1.16053,1.83122,3.72629,1.39474,3.29372,1.19079,5.27078,0.78372,1.75288,0.51123,1.81372,0.57636,1.82017,1.80869,3.27323,0.47903,0.79501,0.91524,2.14824,0.24247,1.00808,0.57289,0.71162,0.2089,0.75846,0.58268,1.16566,0.48487,0.2892,0.42332,0.60883,0.26045,0.82361,0.49837,0.56883,0.22473,0.34291,0.19248,0.53498,0.3637,0.12957
"Extant","Alcelaphini",,,,1,"LM3","mand",3053,285.895599,98.584084,23.301121,11.67636,31.150261,30.25276,7.42186,25.788031,7.80116,13.42312,8.23849,17.209539,1.78486,7.04012,2.59438,3.13784,1.14568,6.7901,1.27827,2.29965,0.64211,3.43759,1.07441,0.1894,0.83989,2.49503,0.48553,0.47877,0.66732,1.20346,0.37993,1.19736,0.34576,1.73922,0.2173,0.68966,0.05306,1.15594,0.53377,0.98377,0.25671,0.28778,0.27384,0.54157,0.07836,0.93495,0.32385,0.47181,0.42845,0.41817,0.16577,0.51261,0.27777,0.39274,0.28706,0.65675,0.23762,0.51091,0.36181,0.34305
